taskId,method,model,run,ok,tracePath,success,totalDurationMs,invalidActionCount,replanningCount,executionSteps,finalTick,pddlDomainModelId,pddlEmbedded,verifierEvidence,domainPath,domainUse,ragContextEnabled,completedAt
cook_shrimp_alkharid,few_shot,gemma3:12b,1,true,runs\traces\2026-05-04T13-48-14-656Z-few_shot-cook_shrimp_alkharid.json,false,16,0,0,0,11,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:48:14.757Z
cook_shrimp_alkharid,few_shot,gemma3:12b,2,true,runs\traces\2026-05-04T13-48-23-826Z-few_shot-cook_shrimp_alkharid.json,false,20,0,0,0,11,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:48:23.903Z
cook_shrimp_alkharid,few_shot,gemma3:12b,3,true,runs\traces\2026-05-04T13-48-32-976Z-few_shot-cook_shrimp_alkharid.json,false,19,0,0,0,11,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:48:33.039Z
cook_shrimp_alkharid,few_shot,gemma3:12b,4,true,runs\traces\2026-05-04T13-48-42-041Z-few_shot-cook_shrimp_alkharid.json,false,17,0,0,0,10,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:48:42.100Z
cook_shrimp_alkharid,few_shot,gemma3:12b,5,true,runs\traces\2026-05-04T13-48-51-054Z-few_shot-cook_shrimp_alkharid.json,false,17,0,0,0,11,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:48:51.117Z
cook_shrimp_alkharid,static_rag,gemma3:12b,1,true,runs\traces\2026-05-04T13-49-00-086Z-static_rag-cook_shrimp_alkharid.json,true,30707,0,0,2,63,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:49:30.833Z
cook_shrimp_alkharid,static_rag,gemma3:12b,2,true,runs\traces\2026-05-04T13-49-39-893Z-static_rag-cook_shrimp_alkharid.json,true,26909,0,0,1,56,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:50:06.852Z
cook_shrimp_alkharid,static_rag,gemma3:12b,3,true,runs\traces\2026-05-04T13-50-16-088Z-static_rag-cook_shrimp_alkharid.json,true,31510,0,0,2,64,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:50:47.656Z
cook_shrimp_alkharid,static_rag,gemma3:12b,4,true,runs\traces\2026-05-04T13-50-57-401Z-static_rag-cook_shrimp_alkharid.json,true,34006,0,0,2,63,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:51:31.452Z
cook_shrimp_alkharid,static_rag,gemma3:12b,5,true,runs\traces\2026-05-04T13-51-40-644Z-static_rag-cook_shrimp_alkharid.json,true,31552,0,0,3,62,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:52:12.230Z
