taskId,method,model,run,ok,tracePath,success,totalDurationMs,invalidActionCount,replanningCount,executionSteps,finalTick,pddlDomainModelId,pddlEmbedded,agenticReplans,learnedLessons,finalDomainLessons,finalDomainActions,symbolicReplans,verifierEvidence,domainPath,domainUse,domainGeneratedThisTrial,initialStateSnapshotPath,ragContextEnabled,completedAt
cook_shrimp_alkharid,learned_domain,gemma3:12b,1,true,runs\traces\2026-05-05T02-18-07-698Z-learned_domain-cook_shrimp_alkharid.json,true,112290,1,1,4,271,short-model-id-1,true,1,1,3,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-learned_domain-rag-gemma3_12b-trial-1-run-1.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-learned_domain-rag-gemma3_12b-trial-1-run-1.json),true,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-1-run-1.json,true,2026-05-05T02:20:00.098Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,2,true,runs\traces\2026-05-05T02-20-52-212Z-learned_domain-cook_shrimp_alkharid.json,true,95978,1,1,4,165,short-model-id-1,true,1,1,4,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-1.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-1.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-2-run-2.json,true,2026-05-05T02:22:28.273Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,3,true,runs\traces\2026-05-05T02-23-26-688Z-learned_domain-cook_shrimp_alkharid.json,true,104714,1,1,3,187,short-model-id-1,true,1,1,5,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-2.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-2.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-3-run-3.json,true,2026-05-05T02:25:11.549Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,4,true,runs\traces\2026-05-05T02-26-09-675Z-learned_domain-cook_shrimp_alkharid.json,true,103710,1,1,3,185,short-model-id-1,true,1,1,7,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-3.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-3.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-4-run-4.json,true,2026-05-05T02:27:53.419Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,5,true,runs\traces\2026-05-05T02-28-50-917Z-learned_domain-cook_shrimp_alkharid.json,true,105684,1,1,3,188,short-model-id-1,true,1,1,9,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-4.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-4.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-5-run-5.json,true,2026-05-05T02:30:36.653Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,6,true,runs\traces\2026-05-05T02-31-29-415Z-learned_domain-cook_shrimp_alkharid.json,true,89991,1,1,3,162,short-model-id-1,true,1,1,11,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-5.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-5.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-6-run-6.json,true,2026-05-05T02:32:59.458Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,7,true,runs\traces\2026-05-05T02-33-50-730Z-learned_domain-cook_shrimp_alkharid.json,true,90259,1,1,3,162,short-model-id-1,true,1,1,13,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-6.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-6.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-7-run-7.json,true,2026-05-05T02:35:21.027Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,8,true,runs\traces\2026-05-05T02-36-12-869Z-learned_domain-cook_shrimp_alkharid.json,true,90930,1,1,3,164,short-model-id-1,true,1,1,15,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-7.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-7.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-8-run-8.json,true,2026-05-05T02:37:43.838Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,9,true,runs\traces\2026-05-05T02-38-38-301Z-learned_domain-cook_shrimp_alkharid.json,true,79265,1,1,3,145,short-model-id-1,true,1,1,17,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-8.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-8.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-9-run-9.json,true,2026-05-05T02:39:57.601Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,10,true,runs\traces\2026-05-05T02-40-49-463Z-learned_domain-cook_shrimp_alkharid.json,true,78341,1,1,3,143,short-model-id-1,true,1,1,19,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-9.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-9.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-10-run-10.json,true,2026-05-05T02:42:07.841Z
