taskId,method,model,run,ok,tracePath,success,totalDurationMs,invalidActionCount,replanningCount,executionSteps,finalTick,pddlDomainModelId,pddlEmbedded,verifierEvidence,domainPath,domainUse,ragContextEnabled,completedAt
cook_shrimp_alkharid,few_shot,gemma3:12b,1,true,runs\traces\2026-05-04T13-22-58-177Z-few_shot-cook_shrimp_alkharid.json,false,18,0,0,0,12,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:22:58.317Z
cook_shrimp_alkharid,few_shot,gemma3:12b,2,true,runs\traces\2026-05-04T13-23-07-314Z-few_shot-cook_shrimp_alkharid.json,false,20,0,0,0,11,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:23:07.361Z
cook_shrimp_alkharid,few_shot,gemma3:12b,3,true,runs\traces\2026-05-04T13-23-16-374Z-few_shot-cook_shrimp_alkharid.json,false,20,0,0,0,11,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:23:16.420Z
cook_shrimp_alkharid,few_shot,gemma3:12b,4,true,runs\traces\2026-05-04T13-23-25-371Z-few_shot-cook_shrimp_alkharid.json,false,21,0,0,0,4,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:23:25.417Z
cook_shrimp_alkharid,few_shot,gemma3:12b,5,true,runs\traces\2026-05-04T13-23-34-399Z-few_shot-cook_shrimp_alkharid.json,false,22,0,0,0,11,short-model-id-001,true,inventory gained ^Shrimps$: 0/1 | Cooking xp gained: 0,runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json,LLM internal/action-doc domain extraction (runs\domain-models\cook_shrimp_alkharid-few_shot-internal-gemma3_12b.json),false,2026-05-04T13:23:34.454Z
cook_shrimp_alkharid,static_rag,gemma3:12b,1,true,runs\traces\2026-05-04T13-23-43-476Z-static_rag-cook_shrimp_alkharid.json,true,3265,0,0,1,17,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:23:46.767Z
cook_shrimp_alkharid,static_rag,gemma3:12b,2,true,runs\traces\2026-05-04T13-23-55-881Z-static_rag-cook_shrimp_alkharid.json,true,8252,0,0,3,25,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:24:04.177Z
cook_shrimp_alkharid,static_rag,gemma3:12b,3,true,runs\traces\2026-05-04T13-24-13-065Z-static_rag-cook_shrimp_alkharid.json,true,3066,0,0,1,17,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:24:16.177Z
cook_shrimp_alkharid,static_rag,gemma3:12b,4,true,runs\traces\2026-05-04T13-24-25-249Z-static_rag-cook_shrimp_alkharid.json,true,3470,0,0,1,18,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:24:28.749Z
cook_shrimp_alkharid,static_rag,gemma3:12b,5,true,runs\traces\2026-05-04T13-24-37-750Z-static_rag-cook_shrimp_alkharid.json,true,3594,0,0,1,18,short-model-id-001,true,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-static_rag-rag-gemma3_12b.json),true,2026-05-04T13:24:41.417Z
